Step 247: Action: [0.], Reward: 0.9795384615384616
Step 248: Action: [0.5178992], Reward: -1
Step 249: Action: [0.52018815], Reward: -1
Step 250: Action: [0.], Reward: 0.5900000000000001
Step 251: Action: [0.], Reward: 0.9587179487179487
Step 252: Action: [0.], Reward: 0.9628205128205128
Step 253: Action: [0.5166753], Reward: -1
Step 254: Action: [0.], Reward: -1
Step 255: Action: [0.], Reward: 0.9753846153846154
Step 256: Action: [0.], Reward: 0.978974358974359
Step 257: Action: [0.], Reward: 0.9805641025641025
Step 258: Action: [0.520275], Reward: -1
Step 259: Action: [0.5187392], Reward: -1
Step 260: Action: [0.], Reward: 0.9820513333333334
Step 261: Action: [0.], Reward: 0.9333333333333333
Step 262: Action: [0.], Reward: 0.9728592307692308
Step 263: Action: [0.], Reward: 0.9758974358974359
Step 264: Action: [0.], Reward: -1
Step 265: Action: [0.], Reward: 0.941076923076923
Step 266: Action: [0.51937324], Reward: -1
Step 267: Action: [0.], Reward: 0.9128717948717948
Step 268: Action: [0.], Reward: 0.971025641025641
Step 269: Action: [0.], Reward: 0.9748718461538461
Step 270: Action: [0.], Reward: 0.9749230769230769
Step 271: Action: [0.], Reward: 0.9725698461538461
Step 272: Action: [0.5185908], Reward: -1
Step 273: Action: [0.], Reward: 0.9794872307692307
Step 274: Action: [0.], Reward: 0.9753846153846154
Step 275: Action: [0.], Reward: 0.9718461538461538
Step 276: Action: [0.], Reward: 0.9897948717948718
Step 277: Action: [0.], Reward: 0.9320057435897436
Step 278: Action: [0.], Reward: 0.9564102564102565
Step 279: Action: [0.], Reward: 0.9718
Step 280: Action: [0.], Reward: 0.9653846153846154
Step 281: Action: [0.], Reward: 0.9738461538461538
Step 282: Action: [0.], Reward: 0.918
Step 283: Action: [0.], Reward: 0.7951282051282051
Step 284: Action: [0.], Reward: 0.9830769230769231
Step 285: Action: [0.5179928], Reward: -1
Step 286: Action: [0.], Reward: 0.961025641025641
Step 287: Action: [0.52014935], Reward: -1
Step 288: Action: [0.], Reward: 0.9769230769230769
Step 289: Action: [0.], Reward: 0.9538974358974359
Step 290: Action: [0.], Reward: 0.7333846153846154
Step 291: Action: [0.], Reward: 0.9817948717948718
Step 292: Action: [0.], Reward: 0.7438461538461538
Step 293: Action: [0.], Reward: 0.9556410256410256
Step 294: Action: [0.5201338], Reward: -1
Step 295: Action: [0.51967657], Reward: -1
Step 296: Action: [0.], Reward: 0.9641538461538461
Step 297: Action: [0.], Reward: 0.9307692307692308
Step 298: Action: [0.], Reward: 0.8718461538461538
Step 299: Action: [0.], Reward: 0.9702564102564103
Step 300: Action: [0.], Reward: 0.9628205128205128
Step 301: Action: [0.], Reward: 0.9769230769230769
Step 302: Action: [0.], Reward: 0.9031339487179487
Step 303: Action: [0.5197172], Reward: -1
Step 304: Action: [0.], Reward: 0.9782051282051282
Step 305: Action: [0.], Reward: 0.8210826666666666
Step 306: Action: [0.], Reward: 0.9308205128205128
Step 307: Action: [0.], Reward: 0.9761538461538461
Step 308: Action: [0.51934075], Reward: -1
Step 309: Action: [0.], Reward: 0.9641076923076923
Step 310: Action: [0.], Reward: 0.9574359487179487
Step 311: Action: [0.], Reward: 0.7590256410256411
Step 312: Action: [0.], Reward: 0.9559487179487179
Step 313: Action: [0.], Reward: 0.916
Step 314: Action: [0.], Reward: 0.9846153846153847
Step 315: Action: [0.], Reward: 0.9077435897435897
Step 316: Action: [0.], Reward: 0.9586717948717949
Step 317: Action: [0.5194982], Reward: -1
Step 318: Action: [0.], Reward: 0.9417948717948718
Step 319: Action: [0.], Reward: 0.9456461538461538
Step 320: Action: [0.51901305], Reward: -1
Step 321: Action: [0.], Reward: 0.9797435897435898
Step 322: Action: [0.51937467], Reward: 0.04246463469969952
Step 323: Action: [0.], Reward: 0.9538512820512821
Step 324: Action: [0.], Reward: 0.9728717948717949
Step 325: Action: [0.], Reward: 0.9589748717948718
Step 326: Action: [0.], Reward: 0.9688256410256411
Step 327: Action: [0.], Reward: 0.6153846153846154
Step 328: Action: [0.5168772], Reward: -1
Step 329: Action: [0.], Reward: 0.9574358974358974
Step 330: Action: [0.], Reward: 0.9564102564102565
Step 331: Action: [0.], Reward: 0.9551282051282052
Step 332: Action: [0.], Reward: 0.9748769230769231
Step 333: Action: [0.51844734], Reward: -1
Step 334: Action: [0.], Reward: 0.9730769230769231
Step 335: Action: [0.], Reward: 0.8358974358974359
Step 336: Action: [0.], Reward: 0.9385641025641026
Step 337: Action: [0.], Reward: 0.9856923076923076
Step 338: Action: [0.], Reward: 0.973851282051282
Step 339: Action: [0.52041537], Reward: -1
Step 340: Action: [0.], Reward: 0.9743590256410256
Step 341: Action: [0.], Reward: 0.9682102564102564
Step 342: Action: [0.], Reward: 0.9756410256410256
Step 343: Action: [0.51877433], Reward: -1
Step 344: Action: [0.], Reward: 0.9487179487179487
Step 345: Action: [0.], Reward: -1
Step 346: Action: [0.5193964], Reward: -1
Step 347: Action: [0.], Reward: 0.9631282051282052
Step 348: Action: [0.], Reward: 0.9815384615384616
Step 349: Action: [0.], Reward: 0.9744102564102564
Step 350: Action: [0.], Reward: 0.9862051282051282
Step 351: Action: [0.], Reward: 0.9487692307692308
Step 352: Action: [0.], Reward: 0.9841538461538462
Step 353: Action: [0.], Reward: 0.9846154358974359
Step 354: Action: [0.5189163], Reward: -1
Step 355: Action: [0.], Reward: 0.9718461538461538
Step 356: Action: [0.], Reward: 0.9653846153846154
Step 357: Action: [0.], Reward: -1
Step 358: Action: [0.], Reward: 0.9359487179487179
Step 359: Action: [0.], Reward: 0.959025641025641
Step 360: Action: [0.], Reward: 0.9456410256410257
Step 361: Action: [0.], Reward: 0.9756410256410256
Step 362: Action: [0.], Reward: 0.7438461538461538
Step 363: Action: [0.], Reward: 0.7987179487179488
Step 364: Action: [0.51820534], Reward: -1
Step 365: Action: [0.5196309], Reward: 0.29887319222474695
Step 366: Action: [0.5200571], Reward: -1
Step 367: Action: [0.], Reward: 0.9710307692307693
Step 368: Action: [0.], Reward: 0.9551282051282052
Step 369: Action: [0.5200633], Reward: -1
Step 370: Action: [0.51658255], Reward: -1
Step 371: Action: [0.], Reward: 0.6831282051282052
Step 372: Action: [0.], Reward: 0.9692307692307692
Step 373: Action: [0.5188907], Reward: -1
Step 374: Action: [0.5186376], Reward: -1
Step 375: Action: [0.], Reward: 0.9692308205128205
Step 376: Action: [0.], Reward: 0.9641026153846154
Step 377: Action: [0.5177603], Reward: -1
Step 378: Action: [0.], Reward: 0.9282108717948718
Step 379: Action: [0.], Reward: 0.9595384615384616
Step 380: Action: [0.], Reward: 0.9628205128205128
Step 381: Action: [0.51802737], Reward: -1
Step 382: Action: [0.], Reward: 0.9128717948717948
Step 383: Action: [0.], Reward: 0.8795897435897436
Step 384: Action: [0.], Reward: 0.9923076923076923
Step 385: Action: [0.], Reward: 0.9784615384615385
Step 386: Action: [0.], Reward: 0.9282051794871795
Step 387: Action: [0.], Reward: 0.9692820512820512
Step 388: Action: [0.], Reward: 0.9589801025641026
Step 389: Action: [0.51736945], Reward: -1
Step 390: Action: [0.], Reward: 0.9730769230769231
Step 391: Action: [0.5188491], Reward: -1
Step 392: Action: [0.5191305], Reward: -1
Step 393: Action: [0.], Reward: 0.9510256923076923
Step 394: Action: [0.], Reward: 0.9538461538461539
Step 395: Action: [0.], Reward: 0.9641028205128205
Step 396: Action: [0.5211901], Reward: -1
Step 397: Action: [0.], Reward: -1
Step 398: Action: [0.], Reward: 0.9205641025641026
Step 399: Action: [0.5190648], Reward: -1
Step 400: Action: [0.], Reward: 0.948974358974359
Step 401: Action: [0.5195748], Reward: -1
Step 402: Action: [0.], Reward: 0.9848717948717949
Step 403: Action: [0.], Reward: 0.9776923076923076
Step 404: Action: [0.51850253], Reward: -1
Step 405: Action: [0.51988447], Reward: -1
Step 406: Action: [0.], Reward: -1
Step 407: Action: [0.5184129], Reward: -1
Step 408: Action: [0.], Reward: 0.8464102564102565
Step 409: Action: [0.], Reward: 0.9525641025641025
Step 410: Action: [0.], Reward: 0.9756410256410256
Step 411: Action: [0.], Reward: 0.9753846153846154
Step 412: Action: [0.], Reward: 0.9635897435897436
Step 413: Action: [0.], Reward: 0.9741025641025641
Step 414: Action: [0.], Reward: 0.9595897435897436
Step 415: Action: [0.], Reward: 0.9615435897435898
Step 416: Action: [0.5197199], Reward: -1
Step 417: Action: [0.], Reward: 0.9384615897435897
Step 418: Action: [0.], Reward: 0.9735897435897436
Step 419: Action: [0.], Reward: 0.9833333333333334
Step 420: Action: [0.], Reward: 0.9692820512820512
Step 421: Action: [0.], Reward: 0.872051282051282
Step 422: Action: [0.], Reward: 0.9897948717948718
Step 423: Action: [0.], Reward: 0.9667236923076923
Step 424: Action: [0.], Reward: 0.9256923076923077
Step 425: Action: [0.5186718], Reward: -1
Step 426: Action: [0.5184649], Reward: -1
Step 427: Action: [0.], Reward: 0.9594871794871795
Step 428: Action: [0.], Reward: 0.9705128205128205
Step 429: Action: [0.], Reward: 0.9643589743589743
Step 430: Action: [0.], Reward: 0.9620564102564102
Step 431: Action: [0.51605725], Reward: -1
Step 432: Action: [0.], Reward: 0.9128205128205128
Step 433: Action: [0.5206971], Reward: -1
Step 434: Action: [0.5196712], Reward: -1
Step 435: Action: [0.51801723], Reward: -1
Step 436: Action: [0.], Reward: 0.9667692307692308
Step 437: Action: [0.51997054], Reward: -1
Step 438: Action: [0.5159286], Reward: -1
Step 439: Action: [0.51835036], Reward: -1
Step 440: Action: [0.], Reward: 0.9923128205128205
Step 441: Action: [0.5180102], Reward: -1
Step 442: Action: [0.519212], Reward: -1
Step 443: Action: [0.5192589], Reward: -1
Step 444: Action: [0.], Reward: 0.9483076923076923
Step 445: Action: [0.], Reward: 0.9651282564102565
Step 446: Action: [0.], Reward: 0.9693333333333334
Step 447: Action: [0.], Reward: 0.960774358974359
Step 448: Action: [0.], Reward: 0.9853846153846154
Step 449: Action: [0.], Reward: 0.9602564102564103
Step 450: Action: [0.], Reward: 0.9102564102564102
Step 451: Action: [0.], Reward: 0.9874358974358974
Step 452: Action: [0.], Reward: 0.968718
Step 453: Action: [0.], Reward: 0.9697948717948718
Step 454: Action: [0.], Reward: 0.9231794871794872
Step 455: Action: [0.], Reward: 0.9835897435897436
Step 456: Action: [0.52036315], Reward: 0.9245736079338265
Step 457: Action: [0.], Reward: 0.9821025641025641
Step 458: Action: [0.], Reward: -1
Step 459: Action: [0.52041626], Reward: -1
Step 460: Action: [0.], Reward: 0.9525641025641025
Step 461: Action: [0.5187519], Reward: -1
Step 462: Action: [0.], Reward: 0.9743641025641026
Step 463: Action: [0.], Reward: 0.9641026153846154
Step 464: Action: [0.], Reward: 0.9435897948717948
Step 465: Action: [0.], Reward: 0.9528205128205128
Step 466: Action: [0.5207108], Reward: -1
Step 467: Action: [0.], Reward: 0.9869235897435897
Step 468: Action: [0.], Reward: 0.9743641025641026
Step 469: Action: [0.5194883], Reward: -1
Step 470: Action: [0.], Reward: -1
Step 471: Action: [0.5175036], Reward: -1
Step 472: Action: [0.], Reward: 0.9848717948717949
Step 473: Action: [0.], Reward: 0.9692358974358974
Step 474: Action: [0.], Reward: 0.9028205128205128
Step 475: Action: [0.], Reward: 0.9807692307692307
Step 476: Action: [0.], Reward: 0.9525641025641025
Step 477: Action: [0.], Reward: 0.9756410256410256
